"ID","CODE","TYPE","LANGUAGE","CLASSIFIER","LABEL"
"d1a2fd56-d5b5-4cf3-abc6-49dd28b38062",17016,"AVAM","de","f","Topfpflanzen- und Schnittblumengärtnerin"
"c4717344-bc67-40ed-94de-eef47ed29193",17017,"AVAM","de","f","Stauden- und Kleinholzgärtnerin"
"66f5fac1-7578-4101-9e9c-f6d9b13d3b90",17020,"AVAM","de","f","Obergärtnerin (dipl.) für Stauden und Kleingehölz"
"2a9fc4af-99f5-4a3c-8ea1-777ac9b90a1b",17021,"AVAM","de","f","Obergärtnerin dipl., Garten- und Landschaftsbau"
"e0d9834f-e535-4ea2-bc99-5fb02f719701",17022,"AVAM","de","f","Gärtnermeisterin HFP, Topfpflanzen + Schnittblumen"
"c4cf2b27-f0c3-45be-8b9e-c471ba780ebd",17023,"AVAM","de","f","Gärtnermeisterin HFP, Baumschule"
"a705ef5b-6472-4594-8eb3-cd01067ebddf",17024,"AVAM","de","f","Gärtnermeisterin HFP, Stauden und Kleingehölz"
"d4e0fd55-18f7-4022-8a89-68d65b5e656f",17025,"AVAM","de","f","Gärtnermeisterin HFP, Garten- und Landschaftsbau"
"f76829fd-6003-4b32-b34f-3aa314274f5b",17030,"AVAM","de","f","Blumenzüchterin"
"f35b36e8-6748-4ccc-ad93-cda787672133",17031,"AVAM","de","f","Gartengestalterin"
"79874898-47cd-4674-b604-5cd84f7cfde6",17032,"AVAM","de","f","Landschaftsgärtnerin"
"0587bb88-ae45-45bb-a550-b472b3690c22",17033,"AVAM","de","f","Obergärtnerin dipl., Topfpflanzen + Schnittblumen"
"0cb47016-286a-4ce1-a1be-aaa723aad1e0",17034,"AVAM","de","f","Fachfrau für naturnahen Garten- und Landschaftsbau"
"df07a1fd-0f27-4e1f-9f66-c1159ad740bb",17100,"AVAM","de","f","Übrige Gartenbauberufe"
"c5c69f0d-f672-40f3-9010-b5c19f9ae793",17101,"AVAM","de","f","Baumschularbeiterin"
"c37982b8-6777-4d3b-8acd-5b7f0f723d93",17102,"AVAM","de","f","Gartenarbeiterin"
"8440cb09-ec96-456b-9151-aabcdea87dfb",17103,"AVAM","de","f","Gemüsegartenarbeiterin"
"f384a17c-1c83-4ac0-8883-a6349f3ba47f",17104,"AVAM","de","f","Baumschulistin"
"bf9c685e-22a1-4ebc-bcd7-72108c3815fc",17201,"AVAM","de","f","Blumenbinderin"
"f23219ef-1ac5-4781-a3b1-245ed6f61c9f",17202,"AVAM","de","f","Floristin"
"9ad921a9-b0b9-4c95-9dda-b1b2f052d372",17203,"AVAM","de","f","Floristin mit eidg. Fachausweis"
"4dc9dd0e-50de-45dd-bbe8-e247d22a76dd",17204,"AVAM","de","f","Floristin mit HFP-Diplom"
"6b242b9a-4dce-4054-a934-a0731adfac6a",17205,"AVAM","de","f","Floristin EBA"
"0c28217c-4494-47eb-8db2-2359e34366f5",18001,"AVAM","de","f","Tierzüchterin"
"f2e65f15-99ab-4d63-b682-f7110c4b1cc8",18002,"AVAM","de","f","Gehilfin im Hundezwinger"
"ffa29c5e-3297-4794-81ee-d80ae1b95251",18003,"AVAM","de","f","Hundeausbildnerin"
"e1a32a32-6c06-4b88-ab4a-a1a233a87d2e",18004,"AVAM","de","f","Führerhundeausbildnerin"
"b4208bc4-0caf-4cc3-aafb-3a7bb9eaf8fe",18005,"AVAM","de","f","Blindenhundeausbildnerin"
"f534b413-ae41-4a68-938e-45921ee0e33c",18100,"AVAM","de","f","Pferdepflegerinnen, Bereiterinnen"
"47dc80d0-9c96-4bc7-bdfa-bf0ae7542c55",18101,"AVAM","de","f","Bereiterin"
"e6f9c06b-937d-4ec2-a9d3-073bf67c5aa5",18103,"AVAM","de","f","Gestütmeisterin"
"36130dc5-ea36-48a6-98ef-a12737d8301c",18105,"AVAM","de","f","Pferdepflegerin"
"1c10b022-002b-471c-81a8-f16f8c57e67f",18108,"AVAM","de","f","Pferdekrankenpflegerin"
