id,x28_code,avam_code,code
69f9f03c-8cf5-4b33-bbf8-d127f0438484,11000673,92011,33105018
75d4325e-dd55-4790-beb8-a5efd90835d2,11000674,92015,44102007
751798cf-7920-4542-b98c-960c7184cece,11000675,62104,29112026
18ab8ac9-0345-4130-a86d-bf190d402a9c,11000676,67138,46108015
bd3253ef-d416-4561-af0c-8688e96ad59e,11000679,52564,23211039
a210ddeb-598f-4f0f-a01d-034a703f586a,11000680,47610,23205044
f2d4afca-d594-45ce-be3c-4f11ebbbdd97,11000681,64103,29110034
72083c0b-0f0e-4240-85a4-cbcc7da83b44,11000682,64103,29110034
b52d2e76-2329-4ca4-833d-94ea73722931,11000683,80201,41103024
7fe3ad82-b837-4424-8a1c-fd4c25f44308,11000684,78321,39201020
2808bce8-1f1f-4465-b049-2b0e9b7a7b04,11000690,61501,29105013
c378179f-d99f-4035-b057-d0885f0ed0d9,11000691,78323,39201019
758c6ed5-1e02-482c-a1ca-22c53002f830,11000692,63407,29203018
7fbba5fb-f0bc-45e7-b7bb-5854a5971e64,11000693,64001,29301002
9b45a9c4-85f9-48c6-8216-ff5070676eb3,11000694,88341,25404013
9ab8b0ba-7fb3-456c-9fdf-72a5e381f426,11000695,60918,29112060
358a7be9-652e-4a62-8a47-0d06060e9796,11000696,60918,29112060
6b23b3cf-008c-40e6-9f02-79dc3509746c,11000697,60918,29112060
c7e6c6f3-a093-4c54-8f17-de25404282d3,11000698,89212,45202017
413d7672-d4ab-4e4b-8f5c-b59bfc9d5f83,11000699,60918,29112060
b64af948-211f-499a-992d-eb3795f7242a,11000700,90401,38409013
f85220f4-a8c4-4d6f-b544-bacc2d080fcd,11000701,64801,29307001
6bfad8bb-e03a-4475-abc4-45024558be89,11000702,62132,29112115
c9139e6a-9f9d-4383-ad4c-eb535e288c13,11000703,95527,25404099
397bd70d-5ac0-402b-ad51-b04c6e9238ac,11000704,15404,11103015
1e04d175-c030-4e5b-94b2-808eac67ac59,11000707,90609,37304003
80949386-03c3-4142-942e-6670a97c721b,11000708,90604,37304014
81d39043-4a48-45ed-b225-3d07eef069bd,11000709,17001,11401017
999e9ee0-a934-41a9-9556-3addae8f6c58,11000710,65501,29405001
42fb71f3-e97f-4019-b93b-cb727da8fe31,11000711,63501,29204011
ff6898cf-3dbf-4625-b84b-397644dea158,11000712,65504,33105024
6ff010a3-a037-4251-a072-9a4087da823b,11000716,38322,28201008
c712acd4-ae0c-4f03-99d6-6c6a3f639890,11000720,15404,11103015
cfa438d5-4190-484f-9ffd-41ac59beb97d,11000721,60703,29111003
f3c6df68-a3b3-4dda-8942-04363cc7c4b0,11000722,95503,33206004
b4142ff4-3a6c-45c3-8e79-c4355ff0e8f0,11000723,70103,31102142
86441940-16dd-4607-81ac-5260267d23da,11000724,67032,33105190
1768fc09-0bcc-4e79-bf0e-e53e6f61c302,11000725,67032,33105190
4e829efc-f798-4cd3-bf65-88e84f8697ba,11000726,67032,33105190
c7bb5b56-f49c-45c7-af17-63c65f6a1566,11000727,63900,29207027
365e0dff-1bab-4a9b-a5c9-b583eb369041,11000728,63900,29207027
846c5274-3d05-4d2f-95b6-da4eee6a6e19,11000729,63900,29207027
f8368a12-977e-4a5b-8c18-676583246162,11000730,95406,46106047
56b2d323-30a5-4892-93bf-8cde746a78ea,11000732,65101,29401001
9671fb14-bba3-425e-9d22-af4a5d70cf8a,11000733,34702,27102014
